ZONE,STATE,DEALER NAME,CHEQUE BOUNCE,DEALER YEARS,PHONE NUMBER,EMAIL ADDRESS,Q1016,Q2016,Q3016,Q4016,Q1017,Q2017,Q3017,Q4017,Q1018,CREDITABILITY
1,24,A B CHAMBER, 2 ,15,2,1,"9,10,340","1,24,413",0,0,0,0,0,0,0,1
1,24,A BALASUBRAMANIA MUDALIAR & SONS, 2 ,15,2,2,"5,37,662","16,93,964","5,24,603","3,15,585","7,53,245","1,36,800","4,20,226","11,99,711","1,55,950",1
1,24,A K ARUMUGAM TRADERS, 2 ,12,2,1,"2,84,141","5,79,074","7,39,292","5,02,139","1,32,091","2,82,186","97,867","2,96,470","2,36,133",1
1,24,A K ENTERPRISES, 2 ,4,2,1,"1,00,256","68,985",0,"87,852","79,761",0,"29,027","30,797","31,337",1
1,12,A M TRADERS, 1 ,12,2,1,"10,04,781","7,00,597","5,95,942","6,54,751","10,67,543","8,49,384","6,66,462","8,27,099","13,82,946",0
1,24,A TO Z STEELS, 2 ,12,2,1,"4,18,961","5,57,915","1,30,093","2,58,116","2,98,148","3,28,007","2,47,874","1,98,063","1,36,726",1
1,24,A VALDIN C/o ST NICHOLAS CHURCH, 2 ,9,1,1,0,0,0,0,0,0,0,0,0,1
1,12,A Z STEEL AND HARDWARE, 2 ,6,2,1,0,"78,746",0,"78,746",0,0,0,0,0,1
2,8,A.B. CEMENT TRADING CO, 2 ,6,1,1,"1,65,466",0,0,0,0,0,0,0,0,1
5,14,A.C. GOLCHA & SONS, 1 ,11,2,1,"5,17,503","7,42,301","1,69,060","4,36,006","2,09,254","11,160",0,"2,978","3,17,400",0
1,13,A.K. TRADERS, 2 ,7,2,1,0,0,0,0,0,0,0,0,0,1
3,29,A.K.BOSE, 2 ,15,2,2,"8,91,502","6,05,611","3,56,325","11,15,075","10,12,957","1,40,693","6,93,707","6,95,388","7,06,732",1
5,14,A.K.ENTERPRISES, 2 ,8,2,1,"5,02,590",0,0,0,0,0,0,0,0,1
